"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Create_WithInvalidModel_ShouldReturnBadRequest","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionsControllerTests","VaultGuard.BackEnd.Tests.Controllers","CollectionsControllerTests","Create_WithInvalidModel_ShouldReturnBadRequest"
"","1186","VerifyMasterPassword_StillAcceptsLegacyPbkdf2Hash","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CryptographyTests","VaultGuard.BackEnd.Tests.Services","CryptographyTests","VerifyMasterPassword_StillAcceptsLegacyPbkdf2Hash"
"","0","ValidateName_WithSingleCharacter_ReturnsFalse","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateName_WithSingleCharacter_ReturnsFalse"
"","1","ValidateName_WithIllegalCharacters_ReturnsFalse","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateName_WithIllegalCharacters_ReturnsFalse"
"","40","DeleteAsync_WithDefaultCollection_ShouldPromoteAnotherToDefault","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionServiceTests","VaultGuard.BackEnd.Tests.Services","CollectionServiceTests","DeleteAsync_WithDefaultCollection_ShouldPromoteAnotherToDefault"
"","2","UpdateAsync_WithValidCollection_ShouldUpdateProperties","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionServiceTests","VaultGuard.BackEnd.Tests.Services","CollectionServiceTests","UpdateAsync_WithValidCollection_ShouldUpdateProperties"
"","225","SeededItems_CategoryIds_ReferenceExistingCategories","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","SeedingTests","VaultGuard.BackEnd.Tests.Services","SeedingTests","SeededItems_CategoryIds_ReferenceExistingCategories"
"","2","ReactivateUser_UnknownId_ReturnsNotFound","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","UserProfileControllerTests","VaultGuard.BackEnd.Tests.Controllers","UserProfileControllerTests","ReactivateUser_UnknownId_ReturnsNotFound"
"","1","GetAll_WithoutViewPermission_ReturnsForbid","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","PasswordItemsControllerTests","VaultGuard.BackEnd.Tests.Controllers","PasswordItemsControllerTests","GetAll_WithoutViewPermission_ReturnsForbid"
"","11","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","SharedMachineDatabaseSettingsTests","VaultGuard.BackEnd.Tests.Configuration","SharedMachineDatabaseSettingsTests","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues"
"","220","SeededItems_CollectionIds_ReferenceExistingCollections","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","SeedingTests","VaultGuard.BackEnd.Tests.Services","SeedingTests","SeededItems_CollectionIds_ReferenceExistingCollections"
"","24","ImportPasswordsAsync_AssignsUserIdToImportedItems","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","ImportServiceTests","VaultGuard.BackEnd.Tests.Services","ImportServiceTests","ImportPasswordsAsync_AssignsUserIdToImportedItems"
"","1","GetAll_WithPermission_ReturnsOkWithItems","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","PasswordItemsControllerTests","VaultGuard.BackEnd.Tests.Controllers","PasswordItemsControllerTests","GetAll_WithPermission_ReturnsOkWithItems"
"","14","Delete_WhenServiceThrowsException_ShouldReturnInternalServerError","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionsControllerTests","VaultGuard.BackEnd.Tests.Controllers","CollectionsControllerTests","Delete_WhenServiceThrowsException_ShouldReturnInternalServerError"
"","13","UpdateLastUsed_SetsLastUsedAt","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","ApiKeyServiceTests","VaultGuard.BackEnd.Tests.Services","ApiKeyServiceTests","UpdateLastUsed_SetsLastUsedAt"
"","1","GetById_WithInvalidId_ShouldReturnNotFound","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionsControllerTests","VaultGuard.BackEnd.Tests.Controllers","CollectionsControllerTests","GetById_WithInvalidId_ShouldReturnNotFound"
"","4","ValidateEmail_WithInvalidFormat_ReturnsFalse","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateEmail_WithInvalidFormat_ReturnsFalse"
"","2","CreateMasterPasswordHash_WithNullMasterPassword_ShouldThrowArgumentException","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","PasswordCryptoServiceTests","VaultGuard.BackEnd.Tests.Services","PasswordCryptoServiceTests","CreateMasterPasswordHash_WithNullMasterPassword_ShouldThrowArgumentException"
"","40","CreateAsync_WhenCollectionsExist_ShouldNotMarkAsDefault","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionServiceTests","VaultGuard.BackEnd.Tests.Services","CollectionServiceTests","CreateAsync_WhenCollectionsExist_ShouldNotMarkAsDefault"
"","0","AesGcm_TamperedNonce_FailsAuthentication","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CryptographyTests","VaultGuard.BackEnd.Tests.Services","CryptographyTests","AesGcm_TamperedNonce_FailsAuthentication"
"","0","GenerateCode_SecretWithSpaces_IsNormalised","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_SecretWithSpaces_IsNormalised"
"","0","GenerateCode_Rfc6238Vector_LaterTime_Produces6DigitCode","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_Rfc6238Vector_LaterTime_Produces6DigitCode"
"","1","ImportPasswordsAsync_WhenProviderReportsFailure_DoesNotPersist","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","ImportServiceTests","VaultGuard.BackEnd.Tests.Services","ImportServiceTests","ImportPasswordsAsync_WhenProviderReportsFailure_DoesNotPersist"
"","3","Update_WithInvalidId_ShouldReturnNotFound","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","CollectionsControllerTests","VaultGuard.BackEnd.Tests.Controllers","CollectionsControllerTests","Update_WithInvalidId_ShouldReturnNotFound"
"","1124","CreateApiKey_GeneratesUniqueKeys","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","ApiKeyServiceTests","VaultGuard.BackEnd.Tests.Services","ApiKeyServiceTests","CreateApiKey_GeneratesUniqueKeys"
"","2","GetUserApiKeys_NoUserIdClaim_ReturnsUnauthorized","VaultGuard.BackEnd.Tests","2026-07-19","passed","2026-07-19","ApiKeysControllerTests","VaultGuard.BackEnd.Tests.Controllers","ApiKeysControllerTests","GetUserApiKeys_NoUserIdClaim_ReturnsUnauthorized"
