"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6738","Navigation_ToTags_Works","","2026-07-22","passed","2026-07-22","","VaultGuard.Tests.Playwright.ApplicationWorkflowTests","VaultGuard.Tests.Playwright.ApplicationWorkflowTests",""
"","2","CreateAsync_WhenNoCollectionsExist_ShouldMarkAsDefault","Vault Data Management","2026-07-22","passed","2026-07-22","Collections Service","Categories & Collections","CollectionServiceTests","CreateAsync_WhenNoCollectionsExist_ShouldMarkAsDefault"
"","7324","AppBar_HasDarkModeToggle","","2026-07-22","passed","2026-07-22","","VaultGuard.Tests.Playwright.UserManagementCrudTests","VaultGuard.Tests.Playwright.UserManagementCrudTests",""
"","10","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues","Platform & Infrastructure","2026-07-22","passed","2026-07-22","","Configuration","SharedMachineDatabaseSettingsTests","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues"
"","6856","Navigation_ToDashboard_Works","","2026-07-22","passed","2026-07-22","","VaultGuard.Tests.Playwright.ApplicationWorkflowTests","VaultGuard.Tests.Playwright.ApplicationWorkflowTests",""
"","6840","Dashboard_AppBar_HasBrandName","","2026-07-22","passed","2026-07-22","","VaultGuard.Tests.Playwright.ApplicationWorkflowTests","VaultGuard.Tests.Playwright.ApplicationWorkflowTests",""
"","0","GetRemainingSeconds_MidWindow_CountsDown","Cryptography & Security","2026-07-22","passed","2026-07-22","TOTP Service","Two-Factor Authentication","TotpServiceTests","GetRemainingSeconds_MidWindow_CountsDown"
"","293","FullSeedPipeline_CollectionsThenCategoriesThenTagsThenItems_Succeeds","Platform & Infrastructure","2026-07-22","passed","2026-07-22","Full Pipeline & Referential Integrity","Data Seeding","SeedingTests","FullSeedPipeline_CollectionsThenCategoriesThenTagsThenItems_Succeeds"
"","1","Delete_Valid_ReturnsNoContent","Vault Data Management","2026-07-22","passed","2026-07-22","Controller Endpoints","Password Items","PasswordItemsControllerTests","Delete_Valid_ReturnsNoContent"
"","0","Analyze_DetectsWeakPasswords","Cryptography & Security","2026-07-22","passed","2026-07-22","","Security Auditing","SecurityAuditServiceTests","Analyze_DetectsWeakPasswords"
"","0","AesGcm_WhitespaceOnlyPlaintext_RoundTrips","Cryptography & Security","2026-07-22","passed","2026-07-22","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","AesGcm_WhitespaceOnlyPlaintext_RoundTrips"
"","0","Evaluate_CommonPassword_IsVeryWeak","Vault Data Management","2026-07-22","passed","2026-07-22","Password Strength Scoring","Password Strength & Generation","PasswordStrengthServiceTests","Evaluate_CommonPassword_IsVeryWeak"
"","71","SeedTags_OnEmptyDb_InsertsRows","Platform & Infrastructure","2026-07-22","passed","2026-07-22","Tag Seeding","Data Seeding","SeedingTests","SeedTags_OnEmptyDb_InsertsRows"
"","0","EncryptAes256Gcm_EmptyPlaintext_Throws","Cryptography & Security","2026-07-22","passed","2026-07-22","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","EncryptAes256Gcm_EmptyPlaintext_Throws"
"","170","Argon2id_DiffersFromPbkdf2_ForSameInputs","Cryptography & Security","2026-07-22","passed","2026-07-22","Happy-Path Round Trips","Encryption & Key Derivation","CryptographyTests","Argon2id_DiffersFromPbkdf2_ForSameInputs"
"","1","Analyze_DetectsOldPasswords","Cryptography & Security","2026-07-22","passed","2026-07-22","","Security Auditing","SecurityAuditServiceTests","Analyze_DetectsOldPasswords"
"","1","Analyze_ManyWeakReused_ScoresLow","Cryptography & Security","2026-07-22","passed","2026-07-22","","Security Auditing","SecurityAuditServiceTests","Analyze_ManyWeakReused_ScoresLow"
"","1","ValidateEmail_WithNullOrEmpty_ReturnsFalse","Cryptography & Security","2026-07-22","passed","2026-07-22","Email Validation","Input Validation","InputValidationHelperTests","ValidateEmail_WithNullOrEmpty_ReturnsFalse"
